,cc01-20covid1,cc01-20covid2,cc03-19covid,cc01-20mock2,cc01-20mock1,cc03-19mock1
SNRPA1,2778,2564,3132,2251,2632,2916
KRT17P1,0,0,2,2,0,6
LLGL1,179,148,235,196,227,303
NR0B2,119,139,25,209,332,28
LIN28A,0,0,8,3,2,0
THAP1,795,848,565,473,463,573
RHPN2,1714,1490,2129,867,1368,661
C19orf12,998,1014,584,411,510,720
FAAP24,180,160,100,73,94,123
LRRC9,3,1,2,7,6,0
ACTR10,4563,4673,2881,2246,2621,2988
ABHD12B,70,117,168,113,99,9
GCH1,807,762,1161,589,479,690
LGALS3,17489,18588,37068,20298,16529,17353
UBE2L2,0,0,0,0,0,0
PODNL1,27,29,62,73,117,185
DNAJB1,23430,21978,17524,9225,8486,18350
ZSWIM4,595,501,1597,462,317,401
FBXW9,890,959,571,716,859,785
RFX1,116,114,138,133,118,66
ZNF20,142,174,100,95,56,92
C19orf57,103,115,129,104,80,59
DCAF15,322,370,494,293,302,365
CC2D1A,3477,3210,3541,2325,2517,2628
RTBDN,0,0,1,4,3,0
MATN3,74,87,79,45,63,221
TRIM21,2849,3470,3087,800,1005,1150
SPATA6,337,273,284,512,575,162
LRRC41,9718,8932,7035,6201,6983,8790
CCT6B,54,55,76,96,106,82
DHX30,5626,5839,5306,3492,4177,5742
RAF1,6306,6383,6874,4718,5918,5245
SLC6A11,44,25,107,18,25,459
PPARG,3184,2856,2070,614,690,2544
NUP210,914,1126,570,774,892,115
FCRLA,3,7,17,0,0,13
HSD17B7,1910,1946,1119,1436,1719,821
ENOSF1,1610,1875,2140,3804,3888,1877
LINC00470,0,0,10,0,0,2
EMILIN2,542,542,389,356,379,321
SLX1A,1524,1692,1584,1039,1062,1047
ARFIP2,3230,3268,3794,2505,2968,3657
TRIM5,3499,3806,3256,1593,1774,1677
CNGA4,33,28,0,33,62,0
TRIM22,9420,10694,17411,7362,8754,4410
RRP8,1162,1230,847,911,1150,941
TIMM10B,2643,2628,2228,2290,2589,2423
EFR3A,9268,8939,5338,3278,4544,6929
HHLA1,0,0,7,1,4,0
PTCD3,4478,4470,3677,3067,3440,4140
IMMT,5248,5270,3486,2464,2998,5456
MRPL35,2043,2147,1531,1331,1323,2150
IQCA1,135,140,133,169,157,58
ILKAP,1463,1518,1447,947,911,1003
PER2,227,271,970,582,780,506
RAMP1,424,412,443,215,249,211
SCLY,991,919,664,291,468,829
PTPRE,1803,1706,1075,712,894,999
RAN,25524,25908,14797,6991,6908,21677
PRKAA1,3114,3201,2935,2634,3205,2941
CARD6,1237,1128,1115,774,639,1395
AC002316.1,171,228,426,121,193,284
CLUH,4986,5283,6036,3376,4283,6718
INPP5K,2045,1925,1678,1510,1427,1265
MYBBP1A,4437,4886,3986,2584,3277,6912
RPA1,4339,4393,3219,2897,3732,4145
SERPINF1,745,678,2435,4198,6205,2678
UBE2G1,3973,4179,5441,3437,3433,5333
EEFSEC,845,836,673,559,716,944
TBC1D14,3685,3625,4895,3794,3769,4013
TMEM128,884,1010,874,1008,1273,826
COQ3,607,665,328,198,190,582
PNISR,1932,2554,8983,9131,10625,2384
POPDC3,124,124,214,28,16,278
SEC61G,2905,3314,2282,2135,2301,2870
LANCL2,1293,1458,715,495,498,1183
FIGNL1,713,760,456,527,525,672
DDC,1,3,9,17,26,5
FTHL17,0,0,0,0,0,0
GRSF1,7540,8045,6272,3914,4406,7076
ENAM,14,43,0,21,11,6
JCHAIN,0,0,0,0,0,1
ANKRD17,2755,3188,3226,2925,3345,2939
UTP3,614,771,580,421,367,775
ITGB4,7715,8701,9998,9794,12889,29194
WBP2,5595,6105,6058,5703,6752,3385
H3-3B,38760,40855,51840,32346,34965,33180
UNK,912,920,890,829,808,595
TRIM47,2516,2440,1985,1089,1447,1168
ZRANB2,4596,4784,5937,7055,8345,3870
EIF5A,32272,33881,10730,9340,9025,20224
KDM6B,131,111,188,146,151,145
CLEC10A,0,0,0,0,0,0
SLC52A1,21,10,29,106,100,5
GUCY2D,46,41,30,141,198,49
GPS2,2904,3183,3459,2050,2005,1970
XAF1,1608,1973,5126,219,128,110
DLG4,30,21,63,79,99,36
RIDA,624,492,357,546,485,654
